Name,Unnamed: 1,Full Stats - Break Points Faced,Career - Career High Rank (2011.07.04),Career - Career High Rank (2025.01.27),Career - Career High Rank (2025.02.24),Birthplace,TotalServicePointsWon,Turned pro,SecondServeReturnWon,BreakPointsConverted,Career - Career High Rank (2015.03.02),Height,Career - Career High Rank (2021.09.13),DoubleFaults,Career - Career High Rank (2024.08.05),YTD - Titles,Career - Career High Rank (2019.06.10),Career - Prize Money Singles & Doubles Combined,Career - Career High Rank (2022.09.12),Career - Career High Rank (2023.01.16),Career - W-L,Career - Career High Rank (2025.04.07),Career - Career High Rank (2024.05.06),Career - Career High Rank (2025.05.05),Full Stats - Return Games Played,ReturnPointsWon,Career - Career High Rank (2017.09.11),SecondServeWon,Career - Career High Rank (2024.06.24),Career - Career High Rank (2019.05.20),Career - Titles,Career - Career High Rank (2023.02.06),Career - Career High Rank (2025.04.21),Full Stats - Return Games Won,Career - Career High Rank (2024.07.15),Age,Career - Career High Rank (2024.10.21),Career - Career High Rank (2022.08.08),Career - Career High Rank (2022.01.31),FirstServeIn,Career - Career High Rank (2024.08.12),Career - Career High Rank (2024.11.18),Career - Career High Rank (2023.08.21),TotalPointsWon,Full Stats - Break Points Opportunities,Career - Career High Rank (2023.08.14),Career - Career High Rank (2024.02.12),Career - Career High Rank (2023.11.06),Career - Career High Rank (2019.07.15),FirstServeReturnWon,Career - Career High Rank (2024.08.26),Career - Career High Rank (2023.09.11),Career - Career High Rank (2023.06.19),Aces,Career - Career High Rank (2022.11.07),Career - Career High Rank (2024.01.08),Career - Career High Rank (2024.07.22),Career - Career High Rank (2021.10.04),Career - Career High Rank (2017.11.20),Career - Career High Rank (2022.02.28),Career - Career High Rank (2023.10.16),Weight,Career - Career High Rank (2025.03.31),YTD - Rank,Full Stats - Service Games Played,BreakPointsSaved,Career - Career High Rank (2018.11.05),Career - Career High Rank (2024.06.10),Career - Career High Rank (2022.07.11),Full Stats - Service Games Won,YTD - Prize Money,Career - Career High Rank (2022.08.29),FirstServeWon,Career - Career High Rank (2019.11.04),Plays,Career - Career High Rank (2022.06.13),Career - Career High Rank (2024.11.04),Career - Career High Rank (2018.07.02),Career - Career High Rank (2025.05.26),Career - Career High Rank (2024.04.15),Career - Career High Rank (2024.07.01),Career - Career High Rank (2025.04.14),Career - Career High Rank (2022.08.01),Career - Career High Rank (2016.11.07),Career - Career High Rank (2024.09.16),Career - Career High Rank (2022.10.31),Career - Career High Rank (2023.04.10),Career - Career High Rank (2020.09.21),Career - Career High Rank (2023.10.02),Career - Career High Rank (2024.09.09),Career - Career High Rank (2025.05.19),Career - Career High Rank (2021.08.09),Career - Career High Rank (2025.03.17),Career - Career High Rank (2025.03.03),Country,Wins,Losses,Win Rate,Height_cm,Weight_kg
Alexandre Muller,x,739,1.0,9.0,29.0,"Poissy, France",0.6,2014.0,0.52,0.41,4.0,"6'0"" (183cm)",5.0,185,25.0,1,27.0,3087850,3.6666666666666665,27.0,44 - 51,39.0,26.5,17.333333333333332,1153,0.38,10.0,0.5,18.0,52.0,1,42.0,71.0,0.23,6.0,28,47.0,83.0,26.0,0.66,22.666666666666668,4.0,12.5,0.49,635,48.0,27.0,21.0,8.0,0.29,62.0,53.0,18.333333333333332,335,28.5,36.0,31.0,21.0,5.0,31.0,37.0,165 lbs (75kg),72.0,39,1161,0.58,12.0,15.0,58.0,0.73,796304,22.0,0.66,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,France,17,12,0.5862068965517241,183,75
Jordan Thompson,x,2098,1.0,9.0,29.0,"Sydney, Australia",0.64,2013.0,0.48,0.37,4.0,"6'0"" (183cm)",5.0,577,25.0,0,27.0,8520291,3.6666666666666665,27.0,147 - 165,55.333333333333336,26.5,17.333333333333332,3857,0.36,10.0,0.51,18.0,52.0,1,42.0,71.0,0.19,6.0,31,47.0,83.0,26.0,0.62,22.666666666666668,4.0,12.5,0.5,2006,48.0,27.0,21.0,8.0,0.28,62.0,53.0,18.333333333333332,2031,28.5,36.0,31.0,21.0,5.0,31.0,37.0,181 lbs (82kg),72.0,40,3860,0.61,12.0,15.0,58.0,0.79,323229,22.0,0.72,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Australia,7,6,0.5384615384615384,183,82
Nuno Borges,x,769,1.0,9.0,29.0,"Maia, Portugal",0.63,2019.0,0.5,0.36,4.0,"6'1"" (185cm)",5.0,297,25.0,0,27.0,3288507,3.6666666666666665,27.0,56 - 64,55.333333333333336,26.5,17.333333333333332,1428,0.36,10.0,0.51,18.0,52.0,1,42.0,71.0,0.19,6.0,28,47.0,83.0,26.0,0.64,22.666666666666668,4.0,12.5,0.5,731,48.0,27.0,21.0,8.0,0.28,62.0,53.0,18.333333333333332,577,28.5,36.0,31.0,21.0,5.0,31.0,37.0,171 lbs (78kg),72.0,41,1416,0.6,12.0,15.0,58.0,0.78,595259,22.0,0.7,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Portugal,16,14,0.5333333333333333,185,78
Gael Monfils,x,5639,1.0,9.0,29.0,"Paris, France",0.64,2004.0,0.49,0.41,4.0,"6'4"" (193cm)",5.0,3355,25.0,1,27.0,23955079,3.6666666666666665,27.0,581 - 342,55.333333333333336,26.5,17.333333333333332,11357,0.38,10.0,0.5,18.0,52.0,13,42.0,71.0,0.25,6.0,38,47.0,83.0,26.0,0.62,22.666666666666668,4.0,12.5,0.51,6864,48.0,27.0,21.0,8.0,0.32,62.0,53.0,18.333333333333332,7519,28.5,36.0,31.0,21.0,5.0,31.0,37.0,187 lbs (85kg),72.0,42,11372,0.62,12.0,15.0,58.0,0.81,670973,22.0,0.73,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,France,16,7,0.6956521739130435,193,85
Marcos Giron,x,1642,1.0,9.0,29.0,"Thousand Oaks, CA, USA",0.63,2014.0,0.49,0.38,4.0,"5'11"" (180cm)",5.0,411,37.0,0,27.0,5535239,3.6666666666666665,27.0,118 - 130,55.333333333333336,26.5,17.333333333333332,3119,0.36,10.0,0.51,18.0,52.0,1,42.0,71.0,0.19,6.0,31,47.0,83.0,26.0,0.61,22.666666666666668,4.0,12.5,0.49,1587,48.0,27.0,21.0,8.0,0.28,62.0,53.0,18.333333333333332,1274,28.5,36.0,31.0,21.0,5.0,31.0,37.0,170 lbs (77kg),72.0,43,3079,0.6,12.0,15.0,58.0,0.79,625298,22.0,0.72,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,United States,14,11,0.56,180,77
Lorenzo Sonego,Insta,1891,1.0,9.0,29.0,"Turin, Italy",0.65,2013.0,0.46,0.37,4.0,"6'3"" (191cm)",5.0,612,25.0,0,27.0,7614328,3.6666666666666665,27.0,151 - 167,55.333333333333336,26.5,17.333333333333332,3888,0.34,10.0,0.51,18.0,52.0,4,42.0,71.0,0.17,6.0,30,47.0,83.0,26.0,0.66,22.666666666666668,4.0,12.5,0.5,1799,48.0,27.0,21.0,8.0,0.28,62.0,53.0,18.333333333333332,1871,28.5,36.0,31.0,21.0,5.0,31.0,37.0,168 lbs (76kg),72.0,44,3899,0.63,12.0,15.0,58.0,0.82,661248,22.0,0.73,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Italy,9,12,0.42857142857142855,191,76
Luciano Darderi,x,495,1.0,9.0,29.0,"Villa Gesell, Argentina",0.63,2015.629213483146,0.5,0.37,4.0,"6'0"" (183cm)",5.0,188,32.0,1,27.0,2020671,3.6666666666666665,27.0,38 - 40,55.333333333333336,26.5,17.333333333333332,875,0.36,10.0,0.52,18.0,52.0,2,42.0,71.0,0.2,6.0,23,47.0,83.0,26.0,0.59,22.666666666666668,4.0,12.5,0.5,478,48.0,27.0,21.0,8.0,0.28,62.0,53.0,18.333333333333332,408,28.5,36.0,31.0,21.0,5.0,31.0,37.0,180 lbs (82kg),72.0,45,885,0.61,12.0,15.0,58.0,0.78,560371,22.0,0.7,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Italy,13,12,0.52,183,82
Miomir Kecmanovic,x,2061,1.0,9.0,29.0,"Belgrade, Serbia",0.64,2017.0,0.51,0.39,4.0,"6'0"" (183cm)",5.0,625,25.0,1,27.0,7192630,3.6666666666666665,27.0,158 - 161,55.333333333333336,26.5,17.333333333333332,3766,0.37,10.0,0.53,18.0,52.0,2,42.0,71.0,0.22,6.0,25,47.0,83.0,26.0,0.61,22.666666666666668,4.0,12.5,0.5,2071,48.0,27.0,21.0,8.0,0.28,62.0,53.0,18.333333333333332,1269,28.5,36.0,31.0,21.0,5.0,31.0,37.0,165 lbs (75kg),72.0,46,3733,0.61,12.0,15.0,58.0,0.79,580375,22.0,0.7,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Serbia,13,13,0.5,183,75
David Goffin,x,4091,1.0,9.0,29.0,"Rocourt, Belgium",0.62,2009.0,0.52,0.41,4.0,"5'11"" (180cm)",5.0,1959,25.0,0,27.0,18413458,3.6666666666666665,27.0,353 - 263,55.333333333333336,26.5,17.333333333333332,7126,0.4,10.0,0.5,18.0,52.0,6,42.0,71.0,0.27,6.0,34,47.0,83.0,26.0,0.58,22.666666666666668,4.0,12.5,0.51,4711,48.0,27.0,21.0,8.0,0.31,62.0,53.0,18.333333333333332,3016,28.5,36.0,31.0,21.0,7.0,31.0,37.0,154 lbs (70kg),72.0,47,7031,0.59,12.0,15.0,58.0,0.76,409804,22.0,0.71,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Belgium,7,10,0.4117647058823529,180,70
Pedro Martinez,x,1492,1.0,9.0,36.0,"Alzira, Spain",0.59,2016.0,0.51,0.39,4.0,"6'1"" (185cm)",5.0,668,25.0,0,27.0,4961870,3.6666666666666665,27.0,78 - 106,55.333333333333336,26.5,17.333333333333332,2189,0.38,10.0,0.48,18.0,52.0,1,42.0,71.0,0.24,6.0,28,47.0,83.0,26.0,0.67,22.666666666666668,4.0,12.5,0.49,1334,48.0,27.0,21.0,8.0,0.3,62.0,53.0,18.333333333333332,371,28.5,36.0,31.0,21.0,5.0,31.0,37.0,168 lbs (76kg),72.0,48,2183,0.59,12.0,15.0,58.0,0.72,531708,22.0,0.65,9.0,"Right-Handed, Two-Handed Backhand",2.0,26.0,23.0,28.0,13.0,19.0,39.0,64.0,6.0,72.0,42.0,49.0,10.0,47.0,30.0,56.714285714285715,3.0,83.0,32.75,Spain,10,15,0.4,185,76
